1, Guangzhou,6557.4525,7641.92,8616.7948,10026.2586,10897.2043,12147.494408227258,13556.5665
2, Shenzhen,5246.3342,6170.2,7239.9823,8280.1126,9184.2211,10288.2789,11704.974
3, Zhuhai,516.4294,609.38,693.862,792.3631,884.5665,973.0039,1102.9551
4, Shantou,467.9529,552.53,614.0473,663.8507,721.066,809.6203,922.7158
5, Foshan,1995.426825320082,2223.72,2383.28189055564,2632.027293052,2705.6806,3028.0004,3338.6783449196223
6,    Shunde,641.8286,730.26,839.3476,914.279,936.559598730129,1035.1017,1144.1164140360108
7, Shaoguan,304.7895,366.45,413.1022,465.2501,521.371064137207,567.2334721246024,604.3774152030194
8, Heyuan,175.6762100093164,209.65,250.805015837542,288.5438,319.3333,345.7495753568224,406.4882325898745
9, Meizhou,234.466,277.34,315.1224,343.4103,380.6425,419.455,469.4253
10, Huizhou,613.364375719032,764.75,892.099937574112,1041.35828470052,1162.26912763035,1262.3472238838256,1402.9768376360798
11, Shanwei,174.3223,201.23,225.8361,252.2213,273.9528,295.3253,330.0535
12, Dongguan,2069.855838584357,2336.52,2575.84680091785,2875.24903746581,3066.5510389349,3332.001387101805,3630.2461285055933
13, Zhongshan,727.5512961567686,911.24,1027.83285855908,1117.65360492697,1195.26108504647,1310.8513959464556,1457.2641044879326
14, Jiangmen,581.34688376,695.3,770.43150445,838.479872,893.123932384281,980.7951,1079.0474768656559
15, Yangjiang,230.18957086116717,278.8,321.276495704761,379.3035,414.3006,480.5932,530.8995
16, Zhanjiang,544.087076528998,680.73,787.28869897195,854.63826277456,935.457321581822,1017.2866,1100.965702119386
17, Maoming,616.177355881051,721.71,807.366491556762,948.146,1010.0993,1058.0767870273455,1142.1230571010553
18, Zhaoqing,440.60247561506594,513.46,557.161996561754,588.252770962996,651.260595090041,691.4856972161325,767.5197044448801
19, Qingyuan,355.39091898725,421.28,463.819221811867,503.950916880161,529.095192028533,600.5304923353721,665.7452800706164
20, Chaozhou,210.32267291911785,249.48,269.673296266229,312.2988,323.291087238045,361.5603,403.6427275671839
21, Jieyang,320.4625337811199,369.94,408.696859789743,459.7265,525.287701790634,595.8165,699.998
22, Yunfu,138.523700383791,162.59,194.750791725734,221.260068784827,230.818311371203,260.53633774036894,299.3555244840528
